reservoir,pcode,year,month,mean_cfs,n_days,volume_af,water_year
KAC,QD,2013,6,411.6666666666667,30,24495.867768595042,2013
KAC,QD,2013,7,177.1290322580645,31,10891.239669421488,2013
KAC,QD,2013,8,724.0322580645161,31,44519.00826446281,2013
KAC,QD,2013,9,1095.3,30,65174.87603305785,2013
KAC,QD,2013,10,273.80645161290323,31,16835.702479338845,2014
KAC,QD,2013,11,57.9,30,3445.289256198347,2014
KAC,QD,2013,12,52.58064516129032,31,3233.0578512396696,2014
KAC,QD,2014,1,40.74193548387097,31,2505.123966942149,2014
KAC,QD,2014,2,34.42857142857143,28,1912.0661157024795,2014
KAC,QD,2014,3,30.258064516129032,31,1860.4958677685952,2014
KAC,QD,2014,4,475.6333333333333,30,28302.14876033058,2014
KAC,QD,2014,5,585.1290322580645,31,35978.181818181816,2014
KAC,QD,2014,6,471.8666666666667,30,28078.016528925622,2014
KAC,QD,2014,7,230.38709677419354,31,14165.950413223141,2014
KAC,QD,2014,8,555.3870967741935,31,34149.42148760331,2014
KAC,QD,2014,9,1179,30,70155.37190082645,2014
KAC,QD,2014,10,444.4193548387097,31,27326.280991735537,2015
KAC,QD,2014,11,45.1,30,2683.6363636363635,2015
KAC,QD,2014,12,40.41935483870968,31,2485.289256198347,2015
KAC,QD,2015,1,43.38709677419355,31,2667.7685950413224,2015
KAC,QD,2015,2,41.464285714285715,28,2302.809917355372,2015
KAC,QD,2015,3,81.7741935483871,31,5028.099173553719,2015
KAC,QD,2015,4,241.03333333333333,30,14342.479338842975,2015
KAC,QD,2015,5,453.7096774193548,31,27897.520661157025,2015
KAC,QD,2015,6,490.8333333333333,30,29206.611570247936,2015
KAC,QD,2015,7,630.9354838709677,31,38794.710743801654,2015
KAC,QD,2015,8,887.7741935483871,31,54587.10743801653,2015
KAC,QD,2015,9,808.7,30,48120.991735537194,2015
KAC,QD,2015,10,467.7741935483871,31,28762.314049586777,2016
KAC,QD,2015,11,27.7,30,1648.2644628099174,2016
KAC,QD,2015,12,29.032258064516128,31,1785.1239669421489,2016
KAC,QD,2016,1,29.548387096774192,31,1816.8595041322315,2016
KAC,QD,2016,2,35.241379310344826,29,2027.107438016529,2016
KAC,QD,2016,3,34.096774193548384,31,2096.528925619835,2016
KAC,QD,2016,4,28.166666666666668,30,1676.0330578512396,2016
KAC,QD,2016,5,186.7741935483871,31,11484.297520661157,2016
KAC,QD,2016,6,331.5,30,19725.619834710746,2016
KAC,QD,2016,7,461.96774193548384,31,28405.289256198346,2016
KAC,QD,2016,8,643.483870967742,31,39566.28099173554,2016
KAC,QD,2016,9,1209.0333333333333,30,71942.47933884298,2016
